B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,class
0.0339,0.0377,0.0856,0.0455,0.1286,0.3682,0.4311,0.4328,0.4578,0.4687,0.2394,0.1071,agri1
0.0339,0.0402,0.0863,0.0468,0.1297,0.371,0.4427,0.4332,0.4658,0.4687,0.2406,0.107,agri1
0.0339,0.0393,0.0851,0.046,0.1297,0.371,0.4427,0.4344,0.4658,0.4687,0.2406,0.107,agri1
0.0339,0.0391,0.0863,0.0441,0.1322,0.392,0.4609,0.4472,0.4932,0.4687,0.2424,0.1094,agri1
0.0339,0.0387,0.0874,0.0431,0.1322,0.392,0.4609,0.4656,0.4932,0.4687,0.2424,0.1094,agri1
0.036,0.0388,0.0841,0.0495,0.133,0.3395,0.3994,0.4014,0.4229,0.4346,0.2336,0.108,agri1
0.036,0.0371,0.0834,0.0485,0.1271,0.3569,0.4194,0.41,0.4426,0.4346,0.2362,0.1085,agri1
0.036,0.0381,0.0857,0.0466,0.1271,0.3569,0.4194,0.4244,0.4426,0.4346,0.2362,0.1085,agri1
0.036,0.0395,0.0858,0.0465,0.1292,0.3635,0.4307,0.4308,0.4542,0.4346,0.2383,0.1072,agri1
0.036,0.0392,0.0856,0.0474,0.1292,0.3635,0.4307,0.4276,0.4542,0.4346,0.2383,0.1072,agri1
0.0339,0.0356,0.0841,0.0441,0.1286,0.3682,0.4311,0.4344,0.4578,0.4687,0.2394,0.1071,agri1
0.0339,0.0374,0.0846,0.0456,0.1286,0.3682,0.4311,0.4352,0.4578,0.4687,0.2394,0.1071,agri1
0.0339,0.0397,0.0868,0.0467,0.1297,0.371,0.4427,0.4384,0.4658,0.4687,0.2406,0.107,agri1
0.0339,0.0399,0.0847,0.0475,0.1297,0.371,0.4427,0.4396,0.4658,0.4687,0.2406,0.107,agri1
0.0339,0.0386,0.0842,0.0446,0.1322,0.392,0.4609,0.4676,0.4932,0.4687,0.2424,0.1094,agri1
0.0746,0.1003,0.135,0.161,0.1728,0.1851,0.2062,0.2424,0.2209,0.2299,0.3193,0.2558,agri2
0.0746,0.0878,0.126,0.1538,0.1713,0.1892,0.2031,0.222,0.2222,0.2299,0.318,0.2555,agri2
0.0746,0.0943,0.127,0.149,0.1713,0.1892,0.2031,0.2198,0.2222,0.2299,0.318,0.2555,agri2
0.0746,0.0828,0.117,0.15,0.1713,0.1892,0.2031,0.1942,0.2222,0.2299,0.318,0.2555,agri2
0.0746,0.0828,0.115,0.146,0.1713,0.1892,0.2031,0.1936,0.2222,0.2299,0.318,0.2555,agri2
0.0678,0.0815,0.1146,0.1454,0.1743,0.1855,0.1964,0.189,0.2153,0.2615,0.327,0.2603,agri2
0.0714,0.0769,0.1066,0.137,0.1605,0.1664,0.1773,0.1814,0.1984,0.2281,0.3198,0.257,agri2
